Time elapsed was 428259ns or 0.000428259s,,,0.000428259
Time elapsed was 331804ns or 0.000331804s,,,0.000331804
Time elapsed was 548308ns or 0.000548308s,,,0.000548308
Time elapsed was 585596ns or 0.000585596s,,,0.000585596
Time elapsed was 642467ns or 0.000642467s,,,0.000642467
Time elapsed was 390939ns or 0.000390939s,,,0.000390939
Time elapsed was 501874ns or 0.000501874s,,,0.000501874
Time elapsed was 724780ns or 0.000724780s,,,0.00072478
Time elapsed was 562066ns or 0.000562066s,,,0.000562066
Time elapsed was 439160ns or 0.000439160s,,,0.00043916
,,,
Average (in s),,,0.000515525
