Time elapsed : 354684995ns or 0.354684995s,,,0.354684995
Time elapsed : 316585531ns or 0.316585531s,,,0.316585531
Time elapsed : 302200067ns or 0.302200067s,,,0.302200067
Time elapsed : 304245707ns or 0.304245707s,,,0.304245707
Time elapsed : 393536568ns or 0.393536568s,,,0.393536568
Time elapsed : 326637250ns or 0.326637250s,,,0.32663725
Time elapsed : 356123887ns or 0.356123887s,,,0.356123887
Time elapsed : 338670241ns or 0.338670241s,,,0.338670241
Time elapsed : 306983580ns or 0.306983580s,,,0.30698358
,,,
Average ( in s),,,0.333296425111111
